Placesss,Restaurant,Hotel,Resort,Park,Lake,Mountain,Mountainous,Historical,History,Museum,Religious,Mosque,Fort,Mall,Shopping,Building,Beach,Kpk,Punjab,Sindh,Balochistan,Gigit,Kashmir,Quetta,Peshawar,Karachi,Lahore,Gilgit,Muzaffarabad,Islamabad,Mansehra,Murree,Abbottabad,Swat,Naran,Ski ,Thand,Peak,Top,Ansoo,Tear,Snowfall,Snow,Cold,Bala,Cultural,Culture,Gali,Green,Mughal,Khyber Pakhtunkhwa,Hiking,Hike,Bazaar,Fairy,Galyat,Badshah,Shahi,Mina re pakistan,Aurangzeb,Resolution,Eat,Tower,Amusement,Doll,Movie,Jinni,Jinny,Magical,Do,Darya,View,Residency,Father,House,Ziarat,Only,Dry,Ba,Dha,Family,Open,Water,Boating,City,Mangora,Tourism,Sea,Fantasy,Slide,Snowbar,Food,Largest,Biggest,Picnic,Character,Province,Tourist,Hill,Mughals,Movement,Desert,Island,River,Tomb
MALAM JABBA,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Swat,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Kpk,Yes,Yes,No,No,No,No,No,No
SAIF UL MALUK,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Naran,No,Yes,No,No,No,No,No,No,No,Yes,No,Kpk,Yes,No,No,No,No,No,No,No
ANSOO,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Mansehra,No,Yes,No,No,No,No,No,No,No,Yes,No,Kpk,Yes,No,No,No,No,No,No,No
THANDIANI ,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Abbottabad,No,Yes,No,No,No,No,No,No,No,Yes,No,Kpk,Yes,Yes,No,No,No,No,No,No
QISSA KHAWANI ,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Peshwar,No,Yes,No,No,No,No,No,No,No,No,No,Kpk,Yes,No,No,No,No,No,No,No
NATHIA GALI,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Abbottabad,No,Yes,No,No,No,No,No,No,No,Yes,No,Kpk,Yes,Yes,No,No,No,No,No,No
BADSHAHI MOSQUE,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Lahore,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Punjab,Yes,No,Yes,No,No,No,No,No
MINAR E PAKISTAN,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Lahore,No,Yes,No,No,No,No,No,No,No,Yes,No,Punjab,Yes,No,No,Yes,No,No,No,No
SHAHI QILLA,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Lahore,No,Yes,No,No,No,No,No,No,No,Yes,No,Punjab,Yes,No,Yes,No,No,No,No,No
MAZAR E QUAID,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Karachi,No,Yes,No,No,No,No,No,No,No,Yes,No,Sindh,No,No,No,No,No,No,No,Yes
